X,Y,OBJECTID,OFFICIAL_STORE_NAME,STORE_ADDRESS,CDC_STORE_LEVEL,CATEGORY,ZIP
-75.140854853196203,39.982637793194776,84,Baez Mini Market Llc #1,412 Diamond St,3,Enhanced,19122
-75.232580553839583,39.926885655905295,85,BainS Halal Market And Grocery,6351 Woodland Ave,1,Basic,19142
-75.144504163769426,39.995279227981968,86,Balbi Food Market,2865 N 8th St,3,Enhanced,19133
-75.180459860080461,39.922519756858946,87,"Barbaro, Inc",2355 S Woodstock St,3,Enhanced,19145
-75.139759171813822,40.017336993163681,88,Basilio Grocery Store,801 W Bristol St,1,Basic,19140
-75.132112998885233,39.973149383243111,89,Belgrade Delicatessen,1400 E Columbia Ave,3,Enhanced,19125
-75.241252645065572,39.914480616080205,90,Bensale,7244 Elmwood Ave,1,Basic,19142
-75.161049722876413,39.916831120493768,91,Best of Both Worlds,2601 S 8th St,2,Certification,19148
-75.164607662492983,39.915287927696902,92,Bettys Grocery,2747 S 10Th St,3,Certification,19148
-75.099639039777031,40.000338476856548,93,Bills Deli,2000 Castor Ave,3,Enhanced,19134
-75.195660866041109,39.935219584706402,94,Black Angel Food Market,1501 S 31St St,2,Basic,19146
-75.134821970675702,39.985127039275092,95,Blanca Food Market,162 W Dauphin St,3,Enhanced,19133
-75.116698876468433,40.000144690705852,96,Bonifacio Grocery,701 E Ontario St,3,Enhanced,19134
-75.174032237814217,39.985389736961402,97,Bravo Supermarket,2440 W Norris St,3,Enhanced,19121
-75.173331247263476,39.99958616422024,98,Breton Grocery,2900 N 26Th St,2,Basic,19132
-75.179042069145552,39.94290248815372,99,Brianette Deli & Grocery LLC,755 S 22Nd St,1,Basic,19146
-75.140181343130863,39.981019070329758,100,Brillante Mini Market,312 W Norris St,3,Enhanced,19122
-75.159908055158411,39.984501384846254,101,Brisita Grocery,2027 N 16th St,3,Enhanced,19121
-75.13043369489759,40.023191394414766,102,Brito Grocery,4729 N 3rd St,3,Enhanced,19120
-75.155411263198943,40.009842914622219,103,Britos Grocery,1627 W Erie Ave,1,Basic,19140
-75.153554468772001,40.01114872804343,104,Brothers Grocery,1540 W Butler St,3,Enhanced,19140
-75.168558118576755,39.975665547965349,105,Brothers Mini Market,2012 Ridge Ave,3,Enhanced,19121
-75.223963716936822,39.925395651137336,106,Buist Food Market,2561 S 61St St,2,Basic,19142
-75.096171761837681,40.048969271412055,107,C & R Deli Grocery,6351 Rising Sun Ave,2,Basic,19111
-75.174454636886665,39.979361730621726,108,C Food Market,2400 W Oxford St,3,Enhanced,19121
-75.23563149290429,39.977818870515087,109,Cabrera Mini Market,1660 N 57Th St,1,Basic,19131
